year,origin,destination,foreigners male arrivals,foreigners female arrivals,total foreigners,total male,total female,total
2001,Nordrhein-Westfalen,Sachsen,220,107,327,2008,1719,3727
2001,Nordrhein-Westfalen,Sachsen-Anhalt,148,48,196,1338,1121,2459
2001,Nordrhein-Westfalen,Thuringen,130,78,208,1117,980,2097
2001,Nordrhein-Westfalen,Insgesamt,11155,7861,19016,73214,69128,142342
2001,Hessen,Schleswig-Holstein,144,83,227,1180,1258,2438
2001,Hessen,Hamburg,191,172,363,1090,1137,2227
2001,Hessen,Niedersachsen,617,438,1055,4013,4062,8075
2001,Hessen,Bremen,85,44,129,324,324,648
2001,Hessen,Nordrhein-Westfalen,2013,1335,3348,8452,8173,16625
2001,Hessen,Hessen,0,0,0,0,0,0
2001,Hessen,Rheinland-Pfalz,1530,1094,2624,7431,6904,14335
2001,Hessen,Baden-Wurttemberg,1702,1145,2847,8085,7512,15597
2001,Hessen,Bayern,1600,1030,2630,7834,7220,15054
2001,Hessen,Saarland,76,59,135,403,410,813
2001,Hessen,Berlin,306,248,554,2230,2141,4371
2001,Hessen,Brandenburg,43,31,74,553,518,1071
2001,Hessen,Mecklenburg-Vorpommern,36,15,51,304,270,574
2001,Hessen,Sachsen,156,82,238,1103,988,2091
2001,Hessen,Sachsen-Anhalt,71,26,97,566,490,1056
2001,Hessen,Thuringen,141,54,195,1473,1380,2853
2001,Hessen,Insgesamt,8711,5856,14567,45041,42787,87828
2001,Rheinland-Pfalz,Schleswig-Holstein,51,39,90,484,487,971
2001,Rheinland-Pfalz,Hamburg,75,45,120,403,354,757
2001,Rheinland-Pfalz,Niedersachsen,180,152,332,1385,1457,2842
2001,Rheinland-Pfalz,Bremen,40,28,68,148,146,294
2001,Rheinland-Pfalz,Nordrhein-Westfalen,1300,1015,2315,7915,7980,15895
2001,Rheinland-Pfalz,Hessen,1270,1009,2279,6306,6120,12426
2001,Rheinland-Pfalz,Rheinland-Pfalz,0,0,0,0,0,0
2001,Rheinland-Pfalz,Baden-Wurttemberg,1296,1141,2437,6729,6396,13125
2001,Rheinland-Pfalz,Bayern,564,367,931,3060,2674,5734
2001,Rheinland-Pfalz,Saarland,198,159,357,1793,1835,3628
2001,Rheinland-Pfalz,Berlin,105,109,214,838,792,1630
2001,Rheinland-Pfalz,Brandenburg,27,19,46,378,288,666
2001,Rheinland-Pfalz,Mecklenburg-Vorpommern,19,14,33,175,141,316
2001,Rheinland-Pfalz,Sachsen,49,24,73,513,450,963
2001,Rheinland-Pfalz,Sachsen-Anhalt,41,17,58,319,240,559
2001,Rheinland-Pfalz,Thuringen,52,30,82,371,320,691
